Layer,MAE,MSE,CosineSim,Min,Max,StdOriginal,StdOther,KLD
layer_0_down_proj,0.07752300053834915,0.010976643301546574,-0.009649397805333138,-0.6621554493904114,2.0526416301727295,0.074180006980896,0.0732836127281189,2.777728796005249
layer_0_gateup_proj,0.09304491430521011,0.01877535693347454,0.009610777720808983,-1.5775282382965088,2.6082558631896973,0.10740518569946289,0.08570139855146408,0.12935838103294373
layer_0_o_proj,0.03905697166919708,0.0026319464668631554,0.0008054911158978939,-0.5902044773101807,0.42565587162971497,0.036292560398578644,0.036280348896980286,1.0618553161621094
layer_0_qkv_proj,0.13721595704555511,0.09072220325469971,0.9326143264770508,-9.140581130981445,12.655496597290039,0.7027245163917542,0.8178876042366028,0.7763432264328003
layer_1_down_proj,13.916769027709961,515.586181640625,-0.021883822977542877,-520.7313232421875,873.1345825195312,15.942060470581055,15.827652931213379,3.4601659774780273
layer_1_gateup_proj,0.1670638918876648,0.16075898706912994,0.055727120488882065,-7.635730266571045,21.29096031188965,0.3136254847049713,0.26062747836112976,15.106743812561035
layer_1_o_proj,0.046423159539699554,0.004591525066643953,-0.02004796825349331,-1.6953177452087402,0.319222629070282,0.04709162935614586,0.04779065027832985,5.848616123199463
layer_1_qkv_proj,0.164297416806221,0.09560385346412659,0.831948459148407,-3.6689682006835938,4.192687511444092,0.4837638735771179,0.5559589266777039,1.3855130672454834
layer_2_down_proj,0.09418687224388123,0.020037157461047173,0.00822175107896328,-2.746274948120117,4.299154281616211,0.10069233924150467,0.10034265369176865,2.7323145866394043
layer_2_gateup_proj,0.04976869001984596,0.00575688062235713,0.0010578733636066318,-0.4913052022457123,2.2732949256896973,0.06057718023657799,0.04560881108045578,1.3568545579910278
layer_2_o_proj,0.01178659126162529,0.00023513083579018712,-0.010863536968827248,-0.13471616804599762,0.10629390180110931,0.00977729819715023,0.011708637699484825,0.8865804672241211
layer_2_qkv_proj,0.06654123961925507,0.02543325163424015,0.8041566014289856,-1.3210234642028809,1.4554587602615356,0.14531923830509186,0.25092554092407227,0.965239942073822
layer_3_down_proj,0.011605581268668175,0.00022246147273108363,0.019593341276049614,-0.14486993849277496,0.0975739136338234,0.010625055059790611,0.010679622180759907,0.991718053817749
layer_3_gateup_proj,0.06322799623012543,0.007073021028190851,0.004220068454742432,-0.6232866644859314,0.9146839380264282,0.06751181930303574,0.05036375671625137,0.28499335050582886
layer_3_o_proj,0.014124972745776176,0.0003358919930178672,-0.0011372528970241547,-0.06166870519518852,0.2383248656988144,0.01095585711300373,0.014674831181764603,2.6895296573638916
layer_3_qkv_proj,0.08271957188844681,0.044683169573545456,0.799996018409729,-1.7117705345153809,1.8291127681732178,0.1717851310968399,0.3219485282897949,0.04308221489191055
layer_4_down_proj,0.24636292457580566,0.1241273358464241,-0.008584348484873772,-4.114811420440674,7.440754413604736,0.24879318475723267,0.24736623466014862,1.9923051595687866
layer_4_gateup_proj,0.09365830570459366,0.019371163100004196,0.020542306825518608,-2.541058301925659,4.436913967132568,0.10999902337789536,0.08670857548713684,12.731706619262695
layer_4_o_proj,0.01761593110859394,0.0005173325771465898,0.021776439622044563,-0.14137037098407745,0.18582257628440857,0.014768967404961586,0.017615919932723045,1.0294209718704224
layer_4_qkv_proj,0.11870213598012924,0.08867838233709335,0.8219850063323975,-2.0998339653015137,2.160698413848877,0.23823028802871704,0.46091270446777344,2.015794515609741
layer_5_down_proj,0.018506236374378204,0.000646179192699492,0.013188857585191727,-0.14226165413856506,0.6751116514205933,0.018075963482260704,0.0181129053235054,3.4375216960906982
layer_5_gateup_proj,0.09376119822263718,0.01595076359808445,0.20854786038398743,-0.8504113554954529,0.5138073563575745,0.10332929342985153,0.08641175180673599,0.2638958692550659
layer_5_o_proj,0.023692011833190918,0.0009128115489147604,0.019426103681325912,-0.2039942443370819,0.1688825488090515,0.019920310005545616,0.02310880273580551,0.6564267873764038
layer_5_qkv_proj,0.10448280721902847,0.06229330226778984,0.775881826877594,-2.3117852210998535,2.234231472015381,0.20453573763370514,0.3723243176937103,1.3290178775787354
layer_6_down_proj,0.015854906290769577,0.00043041363824158907,0.011199058033525944,-0.07957631349563599,0.41118454933166504,0.014613996259868145,0.014891989529132843,3.743360996246338
layer_6_gateup_proj,0.09504343569278717,0.01698106713593006,0.21722476184368134,-0.8393030762672424,0.7967251539230347,0.10533002018928528,0.09014865010976791,0.2696647047996521
layer_6_o_proj,0.02713804319500923,0.0011872630566358566,0.010690739378333092,-0.23054221272468567,0.17717590928077698,0.02317817322909832,0.025750325992703438,0.7442074418067932
layer_6_qkv_proj,0.12186235189437866,0.09567603468894958,0.8122683763504028,-2.4821386337280273,2.63065242767334,0.24345701932907104,0.47255995869636536,2.8106424808502197
layer_7_down_proj,0.016703106462955475,0.00046376671525649726,-0.012477975338697433,-0.1316358596086502,0.3298429846763611,0.015085792168974876,0.015184375457465649,1.7533167600631714
layer_7_gateup_proj,0.10276786983013153,0.019567348062992096,0.2297806739807129,-1.3168392181396484,0.8504419326782227,0.11380808800458908,0.09768866747617722,0.2813531160354614
layer_7_o_proj,0.03242355212569237,0.0017043084371834993,-0.02641974948346615,-0.20176097750663757,0.3934164047241211,0.02742793969810009,0.03014267235994339,1.3279114961624146
layer_7_qkv_proj,0.11866599321365356,0.08591089397668839,0.8001857995986938,-2.7021145820617676,2.6411032676696777,0.2364102303981781,0.44571563601493835,3.4691271781921387
layer_8_down_proj,0.017591120675206184,0.0005370699800550938,0.0020782737992703915,-0.1167072206735611,0.4762237071990967,0.016348620876669884,0.016458692029118538,3.923513650894165
layer_8_gateup_proj,0.10644269734621048,0.020932650193572044,0.18284739553928375,-0.8101981282234192,0.7898306846618652,0.11679158359766006,0.09832143038511276,0.3506160080432892
layer_8_o_proj,0.037351079285144806,0.0022409725934267044,0.02652367204427719,-0.3046272397041321,0.21128901839256287,0.03294026479125023,0.03489119932055473,0.5905933380126953
layer_8_qkv_proj,0.12279576063156128,0.09060598164796829,0.772275447845459,-2.746788501739502,2.900003671646118,0.23733054101467133,0.4438233971595764,0.08573485165834427
layer_9_down_proj,0.018990980461239815,0.0006185926031321287,0.03551551699638367,-0.17080239951610565,0.4822995662689209,0.01777353137731552,0.018044712021946907,2.439607620239258
layer_9_gateup_proj,0.10583408176898956,0.02029290236532688,0.1396142542362213,-0.7509755492210388,1.3659369945526123,0.11414409428834915,0.09407256543636322,0.31861501932144165
layer_9_o_proj,0.042021483182907104,0.002992259804159403,0.03914453461766243,-0.24354241788387299,0.9726954102516174,0.03785182908177376,0.041005782783031464,3.9589083194732666
layer_9_qkv_proj,0.12594404816627502,0.10081875324249268,0.7737219333648682,-2.849599838256836,2.7516024112701416,0.24054425954818726,0.464667409658432,5.943979740142822
layer_10_down_proj,0.023345716297626495,0.0009184138034470379,0.019671086221933365,-0.2171519696712494,0.49548593163490295,0.021620968356728554,0.021670158952474594,1.9314155578613281
layer_10_gateup_proj,0.1078435406088829,0.02095644921064377,0.10993175953626633,-0.8943214416503906,0.8467455506324768,0.11593353003263474,0.09365899860858917,0.2803839147090912
layer_10_o_proj,0.04547119140625,0.0032674509566277266,0.028211360797286034,-0.25842803716659546,0.21987788379192352,0.039745841175317764,0.042225874960422516,0.3614700436592102
layer_10_qkv_proj,0.13478103280067444,0.11144524812698364,0.7689111232757568,-2.567626476287842,2.7695841789245605,0.24658627808094025,0.4838709235191345,2.3043274879455566
layer_11_down_proj,0.02619481086730957,0.0012004331219941378,0.017565632238984108,-0.23963642120361328,0.6505163311958313,0.02458878979086876,0.02484995312988758,2.5219788551330566
layer_11_gateup_proj,0.1052083745598793,0.019515622407197952,0.08809599280357361,-0.7369760274887085,0.8169976472854614,0.11238283663988113,0.0888395607471466,0.34517037868499756
layer_11_o_proj,0.04698537662625313,0.003818140598013997,0.03524089232087135,-0.29798370599746704,1.3136056661605835,0.04224829748272896,0.04661422595381737,3.5936977863311768
layer_11_qkv_proj,0.13680870831012726,0.12373397499322891,0.7627387642860413,-2.8531408309936523,2.7911767959594727,0.25614967942237854,0.505702018737793,5.915554046630859
layer_12_down_proj,0.01989552564918995,0.0006676337798126042,-0.004819498863071203,-0.20834746956825256,0.33369508385658264,0.01809001713991165,0.01836469955742359,1.7183128595352173
layer_12_gateup_proj,0.10085728019475937,0.017707588151097298,0.0643484890460968,-0.6232377290725708,1.0536495447158813,0.10712045431137085,0.08327411860227585,0.3029119670391083
layer_12_o_proj,0.054665833711624146,0.0056788260117173195,0.050788190215826035,-0.39106491208076477,2.3329553604125977,0.052749086171388626,0.05657130852341652,4.329389572143555
layer_12_qkv_proj,0.13145461678504944,0.10634913295507431,0.7566585540771484,-2.6792845726013184,2.499890089035034,0.23736794292926788,0.4663839340209961,1.5971882343292236
layer_13_down_proj,0.022546445950865746,0.000898344733286649,0.03820064663887024,-0.22523760795593262,0.5317224860191345,0.021481828764081,0.021742545068264008,2.37532901763916
layer_13_gateup_proj,0.10210112482309341,0.018242591992020607,0.028348926454782486,-0.8740766048431396,0.836375892162323,0.10787031799554825,0.08250778913497925,1.356978416442871
layer_13_o_proj,0.06163199990987778,0.007065239362418652,0.026771094650030136,-0.42930686473846436,2.2047204971313477,0.05967520922422409,0.060825664550065994,4.131593704223633
layer_13_qkv_proj,0.13874554634094238,0.11919599026441574,0.8121704459190369,-2.6422595977783203,2.375115156173706,0.2524641156196594,0.5173086524009705,5.127668857574463
layer_14_down_proj,0.0218501053750515,0.0007989911246113479,-0.006342130713164806,-0.22088375687599182,0.33292603492736816,0.019766533747315407,0.020080527290701866,1.460253357887268
layer_14_gateup_proj,0.10129942744970322,0.01783819869160652,0.030783815309405327,-0.7515583038330078,0.7118393182754517,0.10727260261774063,0.08072210103273392,0.2828384041786194
layer_14_o_proj,0.052029043436050415,0.0047293370589613914,-0.011831791140139103,-0.1989968717098236,1.4657819271087646,0.04657696932554245,0.050052709877491,5.06044340133667
layer_14_qkv_proj,0.14082659780979156,0.1229211688041687,0.779488742351532,-2.709019422531128,2.6147119998931885,0.2466154396533966,0.5069801807403564,2.2867226600646973
layer_15_down_proj,0.033274296671152115,0.001936251064762473,0.048149965703487396,-0.2920571565628052,0.5433240532875061,0.03176521882414818,0.03202572092413902,1.5263671875
layer_15_gateup_proj,0.1041894257068634,0.01941688172519207,0.02590329572558403,-1.0915056467056274,1.0710136890411377,0.11204764246940613,0.08406827598810196,3.104834794998169
layer_15_o_proj,0.06522919982671738,0.007524080574512482,0.030126016587018967,-0.3235324025154114,2.027247428894043,0.06095180660486221,0.06358169764280319,12.331657409667969
layer_15_qkv_proj,0.14844375848770142,0.1463235467672348,0.8224984407424927,-2.496596336364746,2.682579517364502,0.25705230236053467,0.5649218559265137,1.9709913730621338
layer_16_down_proj,0.320757120847702,0.19321385025978088,0.0049110702238976955,-4.254177093505859,5.2474045753479,0.3089711368083954,0.314220666885376,1.4379370212554932
layer_16_gateup_proj,0.10761912912130356,0.023053310811519623,0.044816356152296066,-1.2039443254470825,4.2117695808410645,0.12188456952571869,0.09239321947097778,3.088787317276001
layer_16_o_proj,0.06164912134408951,0.006259887479245663,0.05307132750749588,-0.20322391390800476,1.156869888305664,0.05542459711432457,0.059489667415618896,6.79832649230957
layer_16_qkv_proj,0.15604163706302643,0.21181128919124603,0.829648494720459,-3.1188244819641113,3.9982879161834717,0.2646835148334503,0.6554548740386963,2.8731789588928223
layer_17_down_proj,0.026562761515378952,0.0011945092119276524,0.04757648706436157,-0.22476130723953247,0.33590883016586304,0.024824906140565872,0.025255080312490463,1.0493195056915283
layer_17_gateup_proj,0.09327245503664017,0.01536125224083662,0.033391766250133514,-1.0400235652923584,1.0507416725158691,0.10014519840478897,0.07538226246833801,0.30353835225105286
layer_17_o_proj,0.061436187475919724,0.007129792124032974,-0.0027366806752979755,-0.44243329763412476,2.3606390953063965,0.05760236829519272,0.06159542500972748,4.2281317710876465
layer_17_qkv_proj,0.14839506149291992,0.21273885667324066,0.8289657831192017,-3.930695056915283,4.169642925262451,0.2560417652130127,0.6507105827331543,2.539362668991089
layer_18_down_proj,0.022194715216755867,0.0008235734421759844,0.03369449824094772,-0.1753312647342682,0.27086466550827026,0.020293276757001877,0.020990638062357903,1.0169893503189087
layer_18_gateup_proj,0.09409032762050629,0.015509119257330894,0.0059869615361094475,-0.9182839393615723,0.8834896087646484,0.10005069524049759,0.0746888667345047,0.3964787721633911
layer_18_o_proj,0.05784604698419571,0.006346558686345816,-0.016391079872846603,-0.36453962326049805,2.2406296730041504,0.0535428524017334,0.058125268667936325,4.084384918212891
layer_18_qkv_proj,0.1446070522069931,0.20540869235992432,0.8451162576675415,-3.978533983230591,2.9925594329833984,0.25678253173828125,0.6489524245262146,1.383998155593872
layer_19_down_proj,0.24119026958942413,0.11150319129228592,0.0064084650948643684,-2.97697114944458,4.012776851654053,0.23560534417629242,0.23817604780197144,1.4726122617721558
layer_19_gateup_proj,0.10173790901899338,0.02036859095096588,0.010893797501921654,-0.9431994557380676,3.755660057067871,0.11424940079450607,0.08611439168453217,0.19378265738487244
layer_19_o_proj,0.057204119861125946,0.00638195825740695,-0.0134812593460083,-0.2523038685321808,2.310567855834961,0.053938791155815125,0.05821254476904869,5.552875518798828
layer_19_qkv_proj,0.14982996881008148,0.2031569629907608,0.8435471057891846,-2.797744035720825,3.3960208892822266,0.267858624458313,0.6530838012695312,3.887845993041992
layer_20_down_proj,0.02875254489481449,0.001366657903417945,0.010232644155621529,-0.20658406615257263,0.29120662808418274,0.026151686906814575,0.026395563036203384,0.902419924736023
layer_20_gateup_proj,0.09857068210840225,0.016960935667157173,0.005047952756285667,-1.019173502922058,0.8254510164260864,0.10493447631597519,0.0776701271533966,0.6511068940162659
layer_20_o_proj,0.054954737424850464,0.005199624225497246,-0.01341487467288971,-0.17946679890155792,1.3884062767028809,0.04626872017979622,0.054696157574653625,6.172231197357178
layer_20_qkv_proj,0.16156302392482758,0.3056119680404663,0.8599451780319214,-5.374082088470459,4.191405296325684,0.28843387961387634,0.7809211611747742,1.4610546827316284
layer_21_down_proj,0.02805430255830288,0.0012725255219265819,0.024306677281856537,-0.16802243888378143,0.2651415169239044,0.025254368782043457,0.025808921083807945,0.8014153838157654
layer_21_gateup_proj,0.10258815437555313,0.018284529447555542,-0.004522653296589851,-0.8267284631729126,1.1609656810760498,0.10824712365865707,0.08053603768348694,0.3569488823413849
layer_21_o_proj,0.058350954204797745,0.006833230145275593,-0.02581002004444599,-0.25630879402160645,2.4238369464874268,0.05452965945005417,0.06072089448571205,6.588946342468262
layer_21_qkv_proj,0.1585908979177475,0.2404935359954834,0.8601220846176147,-3.0019118785858154,3.648538827896118,0.2878236174583435,0.7154785394668579,1.1223727464675903
layer_22_down_proj,0.023638255894184113,0.0009174357401207089,0.0259939543902874,-0.22708114981651306,0.2203860580921173,0.021629203110933304,0.02177051641047001,0.7297542095184326
layer_22_gateup_proj,0.10411961376667023,0.01909627392888069,-0.001538966316729784,-0.712394654750824,1.1713892221450806,0.11061137169599533,0.08266375213861465,0.33101141452789307
layer_22_o_proj,0.1262061446905136,0.03456881642341614,0.005509817041456699,-0.7152295112609863,7.922354221343994,0.13159282505512238,0.13208967447280884,5.931473731994629
layer_22_qkv_proj,0.15343548357486725,0.23337465524673462,0.8530585765838623,-2.3006277084350586,4.055722236633301,0.2694579064846039,0.6920334100723267,2.0823917388916016
layer_23_down_proj,0.03186291083693504,0.001682158443145454,-0.004111845977604389,-0.32113713026046753,0.3049158453941345,0.02883702889084816,0.029049893841147423,0.7408096194267273
layer_23_gateup_proj,0.10422774404287338,0.01937127113342285,0.00815236009657383,-1.485304594039917,1.5559297800064087,0.11282141506671906,0.0824095755815506,2.7883076667785645
layer_23_o_proj,0.05999089032411575,0.007081151474267244,0.018748126924037933,-0.24752604961395264,2.629635810852051,0.05227086693048477,0.0669366717338562,4.8405656814575195
layer_23_qkv_proj,0.1452741026878357,0.2115291953086853,0.8409015536308289,-3.1782684326171875,2.8711204528808594,0.2670508623123169,0.6612028479576111,2.5353145599365234
layer_24_down_proj,0.025362888351082802,0.0010403767228126526,0.018048351630568504,-0.2650409936904907,0.16823047399520874,0.022742144763469696,0.023266833275556564,0.7220718264579773
layer_24_gateup_proj,0.10650252550840378,0.020408648997545242,0.012834946624934673,-0.8520135283470154,1.2584410905838013,0.11547216773033142,0.08464257419109344,1.0775455236434937
